Date,Open,High,Low,Close,Volume
2018-11-01,153.398,154.158,150.847,150.905,12263129.568348
2018-11-02,149.66,150.728,144.795,148.888,7337506.9359655
2018-11-05,146.842,151.094,146.664,150.895,4806524.9260022
2018-11-06,150.748,154.959,150.599,154.208,2695092.2980172
2018-11-07,153.279,155.435,152.982,155.435,8186810.3182759
2018-11-08,153.239,154.762,151.785,154.001,4304733.804151
2018-11-09,151.835,152.706,149.551,150.451,3487951.7011065
2018-11-12,149.087,151.192,148.048,148.325,2137161.6161841
2018-11-13,149.234,149.344,145.833,146.19,2691350.2675008
2018-11-14,147.356,147.406,142.521,142.867,2510656.7161017
2018-11-15,145.409,145.616,142.116,144.539,2962198.4362757
2018-11-16,143.213,147.623,142.906,147.247,2927237.7576568
2018-11-19,147.761,150.381,147.604,148.583,2645867.4036138
2018-11-20,146.684,149.205,146.467,147.05,2309765.3021507
2018-11-21,148.345,150.204,147.702,148.176,2223149.4320118
2018-11-23,146.13,147.178,145.339,145.507,1034376.1207734
2018-11-26,146.278,147.386,146.15,146.545,2875035.4205939
2018-11-27,145.003,145.933,141.156,142.106,2711541.0505356
2018-11-28,143.025,145.783,141.325,145.606,1941771.9984516
2018-11-29,144.865,148.888,144.706,148.414,3114520.3168436
2018-11-30,146.259,149.61,146.2,148.166,4234088.3134404
2018-12-03,151.192,153.161,148.958,153.091,3410670.6800667
2018-12-04,152.715,153.031,149.462,149.818,2947901.8569839
2018-12-06,147.682,148.148,142.521,145.299,5137079.7200648
2018-12-07,145.536,147.682,141.928,142.244,2703890.1151691
2018-12-10,145.349,146.733,143.56,146.17,2727133.1814738
2018-12-11,150.134,151.351,145.933,146.664,2740497.2872151
2018-12-12,150.58,151.044,148.543,149.551,2579173.2948564
2018-12-13,149.413,150.264,146.526,147.257,2637260.7334261
2018-12-14,146.604,147.633,145.369,146.19,2534263.871862
2018-12-17,147.188,149.294,145.716,147.327,3362396.4636863
2018-12-18,148.355,148.79,146.664,147.604,2292760.3018527
2018-12-19,147.396,148.433,145.349,145.933,2796451.7683905
2018-12-20,144.646,146.447,142.749,144.242,3629674.5330766
2018-12-21,146.1,147.474,143.302,143.381,5822191.9055534
2018-12-24,142.996,143.658,138.714,138.714,2228459.0699067
2018-12-26,139.307,143.065,136.677,143.035,2767422.7138198
2018-12-27,142.373,146.457,141.028,146.457,3061581.7099925
2018-12-28,147.099,148.483,145.19,146.357,1693823.0337177
2018-12-31,146.278,147,144.162,146.13,1979791.0284979
2019-01-02,143.777,148.128,143.767,147.197,1832969.9327891
2019-01-03,144.252,144.519,142.254,142.61,1896067.6468123
2019-01-04,144.054,147.613,143.608,146.664,1923562.4688713
2019-01-07,145.893,148.009,145.289,146.535,1954433.2092717
2019-01-08,146.17,148.483,145.339,148.118,2357147.4993646
2019-01-09,146.743,149.383,146.377,148.394,2242446.1731611
2019-01-10,148.612,151.697,148.286,151.568,2236042.2441801
2019-01-11,150.341,150.531,149.225,150.036,1474105.1608308
2019-01-14,148.306,149.353,147.682,147.989,2140932.9761288
2019-01-15,146.852,147.841,146.585,147.227,2253999.9452203
2019-01-16,147.524,148.355,147.079,147.237,1475962.0170546
2019-01-17,146.447,147.643,146.268,147.257,2324259.0965641
2019-01-18,148.671,151.192,147.979,150.56,2664120.4216568
